Rank,Wallet Address,Buy Count,Sell Count,Total Buy SOL,Total Sell SOL,Net SOL (Modal),Sisa Token (Net),Realized Profit USD,Balance,Tags
817,DXMR7EsE7NbQAvrTiYjiTka3zkjX2pGky2R4JKTeJWzn,2,1,1.4837,1.5107,-0.0270,0.00,-310.16,0,""
818,3qE6wmLCWya2g4BbXeGM65aEU8oV3a97tDAzSuRQd2sz,0,1,0.0000,0.0271,-0.0271,-49879.06,-0.01,0,"paper_hands"
819,2aD9kmob52cfNRffxUqCqA85gdjycKtArfMj9q8jzkNK,2,3,2.1003,2.1275,-0.0272,27405.46,3.67,0,"fresh_wallet"
820,DBcRVFntVE2mvFzspUVgZFYT94cRE2meETBwUwBo4Brw,0,4,0.0000,0.0273,-0.0273,-44127.24,-26.83,0,""
821,38MUG8yt8kZ64aqLmnx3mjzRp7ufepePo4cGBerz5tRY,2,2,0.6839,0.7119,-0.0280,50352.59,560.47,0,""
822,8pY1AukbuPgUE3EetyLa59rFLMimJGT94ZzbMEZcQF4w,37,56,1.1053,1.1335,-0.0282,20553.60,159.19,0.000046,"sandwich_bot; bluechip_owner; paper_hands"
823,9yhbWqxUAjGg8GY2K8ta3mD7YUy6MguyRMog383KN4ZN,0,1,0.0000,0.0287,-0.0287,-42419.66,-2.86,0,""
824,6D8XwC1LAwdWhiQSCadS9uNwg5k9GJapV4kpjsiMUSqR,0,1,0.0000,0.0293,-0.0293,-19634.16,-0.65,0,""
825,ncg7JTvgZdtYr4UMC12vuMCePvAbbJLreU8Ceb2WQPu,0,1,0.0000,0.0293,-0.0293,-34642.08,0.00,0,"paper_hands"
826,9CT9bmdDHaxVPiyYvpPfCiH9RGp87TGZBRs2oTMh5UP7,0,1,0.0000,0.0293,-0.0293,-51586.50,0.44,4773.656785,"bluechip_owner; fomo"
827,6AZjmqX3aX9PAm1FvqhoXA2kfSzd13Qt85ieJpd7z56f,2,2,2.3070,2.3365,-0.0295,0.00,3.02,0,"fresh_wallet; paper_hands"
828,FnyEgaEPJzgfm3jozbYDCrSeFrKNDMKEsRMsw41DT5dn,0,1,0.0000,0.0299,-0.0299,-60192.27,-0.70,0,""
829,H6EtpNNizCppByyt5Jj5bmpm1GN9MMpBoycBzDhiWrQS,0,1,0.0000,0.0300,-0.0300,-57840.00,349.07,0,""
830,HBmEi5JxeS2Jc6HWFW4p8Cw86CR3yBHqZ9R2hUf2ga2J,0,1,0.0000,0.0302,-0.0302,-57820.45,-9.63,0,"gmgn"
831,Bc2J9cMVPC93SfM1LPX7nmSZTvHij8uWbExxH7XroMBE,1,1,0.0029,0.0336,-0.0307,-41581.67,0.33,0,""
832,GgDugEv4D9ErCSSkt96ZqAKpaXNdTK2Psse95UN7yFgQ,0,1,0.0000,0.0309,-0.0309,-60824.81,-46.09,0,""
833,2JgfZDwHYgoacWU52oKfNwv7xU95Xf3YLDSzBChoJvZC,0,1,0.0000,0.0309,-0.0309,-30725.17,-10.00,0,""
834,C4kgEsrM2c6PCSdR687yj77HeuNsFYJFexY58R64YDdf,1,1,0.3006,0.3315,-0.0309,0.00,2.15,0,"trojan"
835,5mYbNvsBmeM22QzRFi3iYJojQzZ4BRcVbRECxhWB6fXo,0,1,0.0000,0.0312,-0.0312,-58112.20,-2.47,0,""
836,3FPtZbsicrAa8tM9u9jRuFoUKjDPj5oGjPfT5YHtmyqr,0,1,0.0000,0.0328,-0.0328,-59171.57,-45.09,0,""
837,ESJDe4nfbaa9g3ocjWTvKdsbWhyyHZ8w7DhtYnxcRwA1,0,1,0.0000,0.0337,-0.0337,-50900.22,-5.72,0,""
838,E3chhxTiwEhE1eoKjCvpHthdU92GuNMjp8WLptFupDtj,0,1,0.0000,0.0344,-0.0344,-49768.72,55.29,1199947.466839,""
839,7dGrdJRYtsNR8UYxZ3TnifXGjGc9eRYLq9sELwYpuuUu,3,4,0.6138,0.6492,-0.0355,38476.38,1018.57,0,"sandwich_bot; bluechip_owner; bundler"
840,C6jyJ6trpPpriswRTUrisnhYPhyuaPEgxCd7sj7EykaN,0,1,0.0000,0.0356,-0.0356,-48458.00,-14.60,0,"padre"
841,9CeKNxLbnkVwQvQSBnBvyJ5XUbozWzDzoowY51EVE2hQ,11,6,0.3333,0.3690,-0.0358,-30000.96,-2.81,0,"diamond_hands"
842,6nhgkkSuYPFKXGR8uSeq4uWQnnfpsQzQ3VqBtGacdv21,0,1,0.0000,0.0361,-0.0361,-62087.54,-16.46,0.000001,""
843,AZdXrKjE64BZdiVQkTvGA8cNnamQ8zWfNZ5KcNCJ8mxT,0,1,0.0000,0.0366,-0.0366,-68973.50,50.34,0,""
844,43f3VezG3eVawnUvKnWwHrnZuzveVU5eyPeUn86bDFbR,0,1,0.0000,0.0370,-0.0370,-38265.73,15.93,0,"pepeboost"
845,EJmnm2LgH8suq7PVCQY78LjrmfZZyTa7czyirVdPWSM1,0,1,0.0000,0.0371,-0.0371,-33284.44,-5.93,0,""
846,7AtPmv8wgK9RY13ojGSrnYtcCMJGa1fNheqn1m2ZZdNd,0,1,0.0000,0.0373,-0.0373,-41154.29,-24.71,0,""
847,6LUhNwuxueyuSFDCNUEfTheGWi9wqJjtMxXJZT8ThJHV,0,1,0.0000,0.0373,-0.0373,-73022.41,-13.55,0,"axiom"
848,HEu2k4f2gAQmQVVe1Bshwzabm8dZ4XRecwsrhHhrQYq8,0,1,0.0000,0.0374,-0.0374,-59323.82,-141.07,0,""
849,2ccT5ahKLhWLvCJyoDZ5tnGyhZvC9WZpohHqjKs8qtKR,0,1,0.0000,0.0376,-0.0376,-64435.72,-44.03,0,""
850,G4VLM7Yfi8YP1TXhXtJ3jmobZ9f2NfwAmxquFE3XGYDZ,1,1,0.1005,0.1385,-0.0381,0.00,3.34,0,""
851,8eEGmxGNck9waDxNup8wDwj8uSeU3ajommJJwbLzQ3Cz,1,1,0.1780,0.2175,-0.0394,0.00,3.39,0,""
852,7uoZV6ocmJdsUuxpbJCweFCBq6aF55oF1hBpPVjTFvTL,0,1,0.0000,0.0403,-0.0403,-56727.92,-10.68,0,"gmgn"
853,G5YinCoqDRWkid8FwwMLJqft7wAHmEcNeBsMyhQXqS7d,0,1,0.0000,0.0404,-0.0404,-78285.05,-104.95,0,""
854,3eHirUFGPMvZGgwudR87juCYtjyGUdTtMiZ7mfAALLgB,0,1,0.0000,0.0407,-0.0407,-91776.40,-21.34,0,""
855,jB61bFaf7g6PCioSsg7sMLokHHRmcEFg9nRbu6sRGBU,0,1,0.0000,0.0408,-0.0408,-55218.30,-12.23,0,""
856,BXEG2w8K7BTVrHajxQ9zmdzwdnBxvHrU7HZrSuaBab8z,6,1,0.3470,0.3885,-0.0415,0.00,-32.39,0,"axiom"
857,7yyz9vK2fmV1Nju8M1sE2LKAKnCAcKuiQ2XYrCqKGuJj,0,1,0.0000,0.0417,-0.0417,-61507.70,-13.47,0,""
858,BdeVp45H5LHkUKYK6HQdoXBtK5JhgLU9XARvhTHgsdfp,2,2,0.3260,0.3679,-0.0419,0.00,3.05,0,"trojan"
859,81acxaA2Ji4vSEsYTuHgGs9wihDq4xsZ2EWUHPCUmLTb,0,1,0.0000,0.0421,-0.0421,-35617.97,163.56,0,"fresh_wallet"
860,GLKCyH5cJAK7ZGDMfWTSRz7R8ERFhmSBTXUgGmz9dMzy,0,1,0.0000,0.0425,-0.0425,-38537.60,-14.07,0,""
861,AXjeixffdmiGtpkChtnDehsJwX9TvpBHiyTkTz9bVGuA,1,1,0.0057,0.0494,-0.0437,-74622.99,-37.58,1974.677884,""
862,4QFWwscxM3m774gJ55YR3ryWhufaBy5nmsGYAkD78bLd,0,1,0.0000,0.0441,-0.0441,-97213.80,-67.08,0,"pepeboost"
863,3YTAUZHFWDGwBdXei4pfx6WkVqeP3FoBjgkR9JikM3h1,0,1,0.0000,0.0447,-0.0447,-97788.45,-25.03,0,""
864,HT2AC3F6MXX59CAdGgkKYtrstijzrjtEzyEiu8zYAvGs,0,1,0.0000,0.0453,-0.0453,-66157.97,0.00,0,"paper_hands"
